Country,Year,Exports of goods and services (current US$),External balance on goods and services (current US$),Final consumption expenditure (% of GDP),Migrant remittance inflows (% of GDP),GDP (current US$),GDP growth (annual %),"GDP per capita, PPP (current international $)",GNI (current US$),Imports of goods and services (current US$)
Djibouti,2002-01-01,,,,2.53010809549329,591122039.601398,,,606415674.005886,
Djibouti,2003-01-01,,,,3.96561206397858,622044665.515049,,,642959470.180789,
Djibouti,2004-01-01,,,,3.71446673730594,666072101.777505,,,688601797.19898,
Djibouti,2005-01-01,,,,3.64671478137483,708633194.726566,,,729424209.857023,
Djibouti,2006-01-01,,,,3.70302608988553,768873684.032838,,,791915417.986619,
Djibouti,2007-01-01,,,,3.37772822893928,847918929.107984,,,871804682.620512,
Djibouti,2008-01-01,,,,3.08675558505061,999105339.267729,,,1031814867.12319,
Djibouti,2009-01-01,,,,3.09484603500816,1049110684.72493,,,1070790733.7906,
Djibouti,2010-01-01,,,,,1128611700.3618,,,1145970369.28669,
Djibouti,2011-01-01,,,,,1239144501.77525,,,1247888544.40387,
Djibouti,2012-01-01,,,,,1353632941.5207,,,1381266141.87406,
Djibouti,2013-01-01,3197791277.3392,-713349981.15023,78.0462256665624,,2042817162.85639,,3730.36651230337,2014984773.88716,3911141258.48943
Djibouti,2014-01-01,3507482741.48806,384928046.769937,79.7647366341798,,2214679081.25658,7.06154324233921,3897.11431214617,2191027402.50167,3122554694.71813
Djibouti,2015-01-01,3525582232.82561,544982877.093872,81.4667656744001,,2424391785.43897,7.52610891881017,4144.97437037023,2397387660.99673,2980599355.73174
Djibouti,2016-01-01,2703006397.66826,-144417373.298597,83.6080082696857,,2604955228.70117,7.1234323372872,4263.13340598945,2524970308.51728,2847423770.96685
Djibouti,2017-01-01,4146589316.96311,-159435294.647228,84.1384355344955,,2762581334.22612,5.458091517212,4451.68384614482,2635915380.28708,4306024611.61033
Djibouti,2018-01-01,4563067954.82807,374120109.610007,84.3719666605345,,2913466732.12507,4.7744168883374,4699.70967027594,2771291986.31563,4188947845.21807
Djibouti,2019-01-01,5149667174.954,385998278.2001,85.2219813272841,,3088853638.56832,5.5451305999467,4970.33421940026,2995009917.22982,4763668896.7539
Djibouti,2020-01-01,3682879344.59068,268032477.872621,90.6588982059943,,3181071153.6622,1.20202203296475,5020.17079022105,3082506549.59178,3414846866.71806
Djibouti,2021-01-01,,,,,3372287461.80812,4.80000000000001,5420.92776468019,3311945690.15479,
Djibouti,2022-01-01,,,,,3515109075.46098,3.0,5893.18486342005,3448109075.46098,
Eritrea,1960-01-01,,,,,,,,,
Eritrea,1961-01-01,,,,,,,,,
Eritrea,1962-01-01,,,,,,,,,
Eritrea,1963-01-01,,,,,,,,,
Eritrea,1964-01-01,,,,,,,,,
Eritrea,1965-01-01,,,,,,,,,
